station_name,start_count,end_count,lat,lng
11 St & Washington St,11160.0,11106,40.74998490907138,-74.02715027332306
12 St & Sinatra Dr N,13876.0,14131,40.75060414236896,-74.02402013540268
14 St Ferry - 14 St & Shipyard Ln,13318.0,13753,40.752961,-74.024353
4 St & Grand St,7686.0,7532,40.7422579775645,-74.03511106967926
5 Corners Library,2119.0,1958,40.73496102000952,-74.0595030784607
6 St & Grand St,5943.0,5579,40.7443978330956,-74.03450086712837
7 St & Monroe St,7429.0,7508,40.74641264837719,-74.03797701001167
8 St & Washington St,11880.0,11384,40.74598388291562,-74.02819901704788
9 St HBLR - Jackson St & 8 St,7565.0,7712,40.74790720968899,-74.03841152787209
Adams St & 11 St,4241.0,4320,40.750915534784994,-74.03354063630104
Adams St & 2 St,6771.0,6770,40.73981372311843,-74.03690412640572
Astor Place,3618.0,3613,40.71928220070702,-74.07126188278198
Baldwin at Montgomery,6585.0,6206,40.7236589,-74.0641943
Bergen Ave,4443.0,4095,40.722103786686034,-74.07145500183105
Bergen Ave & Sip Ave,5248.0,5164,40.73100888698729,-74.06443700194359
Bergen Ave & Stegman St,942.0,1002,40.70657545063453,-74.0867006778717
Bloomfield St & 15 St,7276.0,7379,40.75453,-74.02658
Brunswick & 6th,6730.0,6513,40.72601172964625,-74.05038893222809
Brunswick St,6619.0,6613,40.7241765,-74.0506564
Christ Hospital,3758.0,3005,40.734785818,-74.050443636
Church Sq Park - 5 St & Park Ave,8793.0,8746,40.74265933273143,-74.03223305940628
City Hall,10350.0,10865,40.7177325,-74.043845
City Hall - Washington St & 1 St,17184.0,17470,40.73736,-74.03097
Clinton St & 7 St,7610.0,7663,40.74542,-74.03332
Clinton St & Newark St,8418.0,8375,40.73743,-74.03571
Columbus Dr at Exchange Pl,13079.0,13560,40.71687,-74.03281
Columbus Drive,8708.0,8831,40.71835519823214,-74.03891444206238
Columbus Park - Clinton St & 9 St,9331.0,9514,40.74816121065146,-74.0324530005455
Communipaw & Berry Lane,2642.0,2760,40.71435836870427,-74.06661093235016
Dey St,1654.0,1719,40.737711,-74.066921
Dixon Mills,4919.0,4876,40.721630142638354,-74.04996782541275
Essex Light Rail,4588.0,4664,40.7127742,-74.0364857
Fairmount Ave,3894.0,3152,40.72572613742557,-74.07195925712585
Glenwood Ave,2764.0,2166,40.72755146730012,-74.07106071710587
Grand St,8046.0,8234,40.71517767732029,-74.03768330812454
Grand St & 14 St,8635.0,8811,40.75409,-74.0316
Grant Ave & MLK Dr,432.0,461,40.70919832245443,-74.08084273338318
Grove St PATH,30953.0,32603,40.71958611647166,-74.04311746358871
Hamilton Park,15759.0,15985,40.727595966,-74.044247311
Harborside,12102.0,12152,40.7192517,-74.034234
Heights Elevator,3379.0,2847,40.74871594538023,-74.04044330120087
Hilltop,5381.0,4306,40.7311689,-74.0575736
Hoboken Ave at Monmouth St,14568.0,15077,40.73520838045357,-74.04696375131607
Hoboken Terminal - Hudson St & Hudson Pl,22734.0,23198,40.73593758446329,-74.03030455112457
Hoboken Terminal - River St & Hudson Pl,21782.0,20669,40.7360676564825,-74.02912706136703
Hudson St & 4 St,12006.0,11942,40.74097260864355,-74.02860336005688
JC Medical Center,7729.0,7810,40.71653978099194,-74.0496379137039
JCBS Depot,2.0,4,40.70965083364061,-74.06860113143921
Jackson Square,1135.0,1124,40.71113,-74.0789
Jersey & 3rd,6322.0,6359,40.72333158646436,-74.04595255851744
Jersey & 6th St,5139.0,5018,40.72528910781132,-74.04557168483734
Journal Square,5730.0,5339,40.73367,-74.0625
Lafayette Park,5281.0,5337,40.71346382669195,-74.06285852193832
Leonard Gordon Park,2949.0,2772,40.74590996631558,-74.0572714805603
